highway,addr:city,addr:housenumber,addr:postcode,addr:street,bench,bus,covered,departures_board,description,gtfs_id,name,network,network:wikidata,network:wikipedia,operator,public_transport,route_ref,shelter,wheelchair,natural,crossing,crossing:markings,maxspeed,lanes,lit,postal_code,surface,bicycle,foot,oneway,handrail,incline,ramp,alt_name,maxspeed:type,amenity,brand,brand:wikidata,brand:wikipedia,building,roof:material,lanes:backward,lanes:forward,source,horse,height,shop,contact:phone,area,footway,barrier,type,area_m2,length_m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.923,,,,,,,26.92935510772289,21.801901696260742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.591,,,,,,,135.98776813942905,62.0898066373846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.803,,,,,,,163.74494681959663,65.10882706310612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.887,,,,,,,161.35403854889213,74.20171915109304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.166,,,,,,,143.11236667763077,59.7892458929211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.959,,,,,,,47.140954795701276,28.525325187907896
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,8.299,,,,,,,195.89116594772756,83.5907785115765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.352,,,,,,,104.00057653868258,57.093118483375655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.868,,,,,,,39.065459934200184,25.210180035518405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.067,,,,,,,84.11368646788858,42.420148091200076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.628,,,,,,,44.29583065542676,27.150229886337833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.263,,,,,,,137.2832153828084,53.43347297481141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.782,,,,,,,185.21085725356096,71.78390899827946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.882,,,,,,,179.4676229214766,78.08060398706449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.907,,,,,,,89.42064818078529,42.39803553701124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.259,,,,,,,195.7142474631961,75.30513307970726
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.342,,,,,,,73.41112882884018,44.25464778193065
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.213,,,,,,,30.353187995235338,23.16354651079952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.343,,,,,,,69.73734140781102,35.4314623692015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.922,,,,,,,194.5055156766533,64.72966456215906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,11.688,,,,,,,832.6290357679743,176.16779295053186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.264,,,,,,,16.584727194747366,17.479359823737404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.503,,,,,,,244.54245614117008,84.91293168447135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,10.642,,,,,,,129.4141403954726,68.4598174375068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.308,,,,,,,356.6967667796863,112.10771019483386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.415,,,,,,,69.44686194071824,47.040678777825164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.832,,,,,,,22.745752871975853,19.32978237991324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.773,,,,,,,69.3076925388446,48.21526712831517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.264,,,,,,,113.0168803480278,64.28462455120899
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.518,,,,,,,104.89853366746759,47.27747893333365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.796,,,,,,,35.59259027312245,26.57626055126606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.062,,,,,,,39.10210423964415,29.075827622252394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.744,,,,,,,122.97275496501027,51.736393675306324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.138,,,,,,,142.60512576097364,70.95335073559211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.885,,,,,,,72.43557967483021,44.073672351330316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.919,,,,,,,53.95429350900485,29.698850317706608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.145,,,,,,,184.3057781844138,77.48676730005056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,8.876,,,,,,,124.89484485810894,53.52806427858101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.561,,,,,,,61.21616285788071,37.36451721336369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.144,,,,,,,83.48673330177337,47.1783316056886
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,10.305,,,,,,,119.99969334782025,64.02949598645165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.272,,,,,,,109.31417139246487,48.35633457775458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.011,,,,,,,47.05474261323196,28.676504042616337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.677,,,,,,,78.32006899323504,44.64508639690943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.358,,,,,,,16.455807685788304,18.607028846106935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.326,,,,,,,51.90782367609299,31.30246542042986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.99,,,,,,,64.1637763567655,36.07102590586128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.259,,,,,,,53.74908071656257,29.888549870656398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.458,,,,,,,131.68779690050923,52.944683224797664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.003,,,,,,,133.71754278758098,49.53906588513134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.679,,,,,,,134.94256684057262,53.04300568987221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.335,,,,,,,317.7239997589327,81.16475402802662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.534,,,,,,,1047.087637266842,194.28803374489837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.994,,,,,,,56.407159818034806,33.38894108783652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.237,,,,,,,129.92083792984917,48.53397562400152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.464,,,,,,,34.25432187963859,26.833919578878312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.442,,,,,,,137.64005291178225,47.66973650534288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.997,,,,,,,139.97089837530694,53.89966929917031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.654,,,,,,,42.923010993429045,30.621552948328546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.755,,,,,,,97.8086627957627,43.42374410717988
