highway,lanes,name,oneway,surface,alt_name,maxspeed,source,IBGE:CD_ADMINIS,ref,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,building,shop,bicycle,lit,service,covered,layer,landuse,amenity,brand,brand:wikidata,brand:wikipedia,religion,area_m2,length_m
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,50.080578749756846
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,37.38686583770131
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,42.35824050728227
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,38.37484274061039
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,37.39513249208327
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,36.607101130023
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.19224497813861
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.670681821866005
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,94.18566032894373
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,112.62255154643084
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,118.92498585065482
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,122.72293192415954
service,,,,,,,,,,,,,,,,,,,parking_aisle,yes,-1,,,,,,,0.0,58.601787459176904
service,,,,,,,,,,,,,,,,,,,parking_aisle,yes,,,,,,,,0.0,70.16256386435273
service,,,,,,,,,,,,,,,,,,,parking_aisle,yes,,,,,,,,0.0,75.9703778977844
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,81.34731025373847
service,,,,,,,,,,,,,,,,,,,parking_aisle,yes,,,,,,,,0.0,76.73576304191937
service,,,,,,,,,,,,,,,,,,,parking_aisle,,,,,,,,,0.0,62.49015464013088
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,226.21272815275483
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,245.69171137106323
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.89617090953333
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,58.337474916905634
trunk,2,Avenida América Central,yes,paved,,80,,,RJ-140,,,,,,,,,,,,,,,,,,,0.0,8.036856154626088
,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,7630.687306979752,889.924743692852
,,Caixa Econômica Federal,,,,,,,,Cabo Frio,1305,,Avenida Joaquim Nogueira,,yes,,,,,,,,bank,Caixa Econômica Federal,Q835283,pt:Caixa Econômica Federal,,522.1662997371307,99.06125104688051
service,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,111.17520749757774
,,,,,,,,,,,,,,,roof,,,,,,1,,,,,,,376.98318396862646,79.62589755194048
,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,478.6059631625101,90.83203605730554
,,,,,,,,,,,,,,,roof,,,,,,1,,,,,,,326.7095128424732,72.3480887522244
,,,,,,,,,,,,,,,roof,,,,,,,,,,,,,156.57860942018837,51.368859221147446
,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,2167.9803863534485,187.84400037433932
,,Assaí Atacadista,,,,,,,,Cabo Frio,900,,Avenida América Central,,yes,supermarket,,,,,1,,,Assaí Atacadista,Q28679415,pt:Assaí Atacadista,,13520.752745422946,511.81037087729726
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.659364723068215
trunk,2,Avenida América Central,yes,paved,,80,IBGE;GPS,estadual,RJ-140,,,,,,,,,,,,,,,,,,,0.0,399.72642859678797
trunk,2,Avenida América Central,yes,paved,,80,,,RJ-140,,,,,,,,,,,,,,,,,,,0.0,13.535463262494503
trunk,2,Avenida América Central,yes,paved,,80,,,RJ-140,,,,,,,,,,,,,,,,,,,0.0,341.01410266915195
,,Proide,,,,,,,,,,,,,yes,,,,,,,,place_of_worship,,,,christian,760.9029871527401,111.20070990102477
footway,,ciclovia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1491.6468477058538
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.67775972122584
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.714544197580738
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.755728039314846
service,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,0.0,89.58160036626019
,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,7049.052792724033,461.23091028418804
trunk,2,Avenida América Central,yes,paved,,80,,,RJ-140,,,,,,,,,,,,,,,,,,,0.0,568.9078283427662
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.889491632270996
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,527.0105005934079
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,83.53930235816668
tertiary_link,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,39.06150984728522
