highway,source,amenity,ele,gnis:feature_id,name,power,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,ref,bus,network,network:short,network:wikidata,public_transport,tiger:cfcc,tiger:name_base,tiger:name_type,tiger:reviewed,tiger:separated,tiger:source,tiger:tlid,tiger:zip_left,tiger:zip_right,hgv,lanes,maxspeed,old_ref_legislative,oneway,shoulder,source:hgv,building,bicycle,foot,motor_vehicle,segregated,surface,tiger:name_base_1,cables,voltage,access,service,tunnel,layer,natural,footway,area_m2,length_m
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.989002715886883
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,71.06692328877719
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,driveway,,,,,0.0,51.13900504893798
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.56276525441774
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,0.0,195.36932484284608
residential,,,,,Division Street,,,,,,,,,,,,,,,A41,Division,St,no,,,,15122,15122,,,,,,,,,,,,,,,,,,,,,,,0.0,442.85478557964507
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,130.7871152891671
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,,0.0,99.04300093902998
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,335.78104306636254
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51.497455404075225
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.86989087149392
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.88025971972652
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.346636828778536
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,,0.0,175.02302523104686
service,bing,,,,Willow Way,,,,,,,,,,,,,,,A41,Willow,Way,no,,,,,,,,,,,,,,yes,,,,,,,,,alley,,,,,0.0,126.31403340717299
,,,,,,,West Mifflin,24,15122,PA,Midway Drive,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,205.83155583588854,64.40606213020716
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,117.03516868507843,44.10702444531503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,78.68696911116105,35.78292860602788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,72.79243684986196,36.59267544390147
,,,,,,,West Mifflin,25,15122,PA,Midway Drive,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,203.65029995247465,69.30668633747703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,113.7188852585158,43.68402090888693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,86.67377518718793,38.079069908701946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,82.75243164221338,36.52639394481108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,171.30298145970775,56.47596653170561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,123.4427358779241,46.14764170104071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,81.20081963176723,42.07295301318187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,89.88690695871227,39.26393815768457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,84.36084506400161,36.736678398274144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,61.85333519479146,40.56148361423077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,101.17209007466246,41.95974162963391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,110.02644890751812,42.324090718782244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,85.12049109159224,37.33898012989482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,75.13817010588245,35.03941112003634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,145.066703320403,49.29845601270124
