crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,residential,,,,Rua Francisco Dias da Silva,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,66.67368379844629
,residential,,,,Rua F,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,183.30556144313042
,residential,,,,Rua L,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,450.7279239333235
,residential,,,,Rua E,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,183.7378186956931
,residential,,,,Rua 46,,,paved,,,,,Rua Quarenta e Seis,,,,,,,,,,,,,,,,,,0.0,49.93246179300072
,residential,,,,Rua Maria Cacilda de Oliveira,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,62.90037534885502
,residential,,,,Rua D,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,187.14881012190517
,residential,,,,Rua Wilson Ferreira,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,65.42916339770096
,residential,,,,Rua Evilazio José Rodrigues,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,63.5131654242644
,residential,,,,Rua 27,,,paved,,,,,Rua Vinte e Sete,,,,,,,,,,,,,,,,,,0.0,63.36877940322927
,residential,,,,Rua C,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,188.89155262886328
,residential,,,,Rua Daniel Silva,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,261.59965440599984
,residential,,,,Rua 99,,,paved,,,,,Rua Noventa e Nove,,,,,,,,,,,,,,,,,,0.0,210.16622467747507
,residential,,,,Rua B,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,170.58721500908274
,residential,,,,Rua Alvaro da Paixão Junior,yes,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,393.8200424349551
,residential,,,,Rua Durvalina Moura de Andrade,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,227.98879281805745
,residential,,,,Rua Francisco Teixeira Junior,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,261.763159616464
,residential,,,,Rua Padre Vicente Cariou,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,323.71783326410394
,residential,,,,Rua Arnaldo Crespo,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,209.07581435462953
,residential,,,,Rua Paulo Roberto Possati,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,213.6978816886409
,residential,,,,Rua Braulino Alves Simões,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,346.81404790410255
,residential,,,,Rua Elizio Dias Curvello,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,346.36370583380295
,residential,,,,Rua Doutor Silas Fontes Caetano,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,95.46780040095224
,residential,,,,Rua Demerval Gonçalves Matos,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,62.29407563336068
,residential,,,,Rua 25,,,paved,,,,,Rua Vinte e Cinco,,,,,,,,,,,,,,,,,,0.0,62.0940351348013
,residential,,,,Rua 55,,,paved,,,,,Rua Cinquenta e Cinco,,,,,,,,,,,,,,,,,,0.0,62.72679345766396
,residential,,,,Rua Fabio Azevedo,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,62.17556257961054
,residential,,,,Rua 40,,,paved,,,,,Rua Quarenta,,,,,,,,,,,,,,,,,,0.0,62.69277797975729
